iter	Passed	Remaining
1049	11475	21312
1050	11488	21304
1051	11497	21290
1052	11509	21281
1053	11520	21271
1054	11533	21263
1055	11544	21252
1056	11555	21241
1057	11567	21231
1058	11577	21219
1059	11589	21210
1060	11596	21193
1061	11607	21182
1062	11616	21166
1063	11630	21162
1064	11643	21154
1065	11651	21139
1066	11664	21132
1067	11673	21117
1068	11685	21109
1069	11699	21101
1070	11712	21095
1071	11722	21083
1072	11734	21074
1073	11747	21066
1074	11758	21055
1075	11770	21047
1076	11781	21035
1077	11791	21023
1078	11804	21015
1079	11815	21005
1080	11828	20997
1081	11840	20989
1082	11852	20980
1083	11864	20970
1084	11873	20957
1085	11887	20951
1086	11897	20938
1087	11908	20928
1088	11918	20915
1089	11930	20905
1090	11941	20894
1091	11954	20888
1092	11964	20875
1093	11975	20864
1094	11984	20849
1095	11996	20840
1096	12006	20827
1097	12013	20809
1098	12024	20799
1099	12037	20792
1100	12049	20782
1101	12061	20774
1102	12073	20763
1103	12083	20751
1104	12093	20740
1105	12103	20727
1106	12117	20720
1107	12129	20712
1108	12140	20701
1109	12151	20690
1110	12165	20684
1111	12178	20676
1112	12187	20662
1113	12194	20645
1114	12207	20638
1115	12217	20624
1116	12229	20616
1117	12241	20606
1118	12253	20598
1119	12264	20586
1120	12278	20580
1121	12290	20571
1122	12298	20556
1123	12312	20549
1124	12323	20539
1125	12334	20528
1126	12343	20514
1127	12355	20504
1128	12365	20492
1129	12375	20479
1130	12388	20471
1131	12398	20460
1132	12409	20448
1133	12421	20440
1134	12434	20432
1135	12446	20423
1136	12460	20416
1137	12471	20405
1138	12482	20395
1139	12495	20387
1140	12504	20374
1141	12514	20360
1142	12525	20349
1143	12537	20340
1144	12548	20329
1145	12560	20320
1146	12571	20309
1147	12581	20297
1148	12594	20289
1149	12606	20279
1150	12617	20269
1151	12627	20257
1152	12636	20242
1153	12642	20222
1154	12655	20215
1155	12666	20204
1156	12675	20190
1157	12686	20180
1158	12699	20172
1159	12713	20165
1160	12723	20153
1161	12732	20140
1162	12745	20131
1163	12755	20120
1164	12767	20109
1165	12780	20102
1166	12790	20089
1167	12801	20079
1168	12811	20066
1169	12822	20055
